event_id,n_trig,n_trig_UD,n_trig_LD,trig_E_tot,trig_E_max,trig_E_mean,trig_t_span,E_UD,E_LD,frac_E_UD,E_UD_max,E_LD_max,det_first,det_last,det_mismatch,both_dets,dt_firstUD_firstLD,n_unique_pix,pix_spread_max,pix_spread_rms,Ew_mean_t,earliest_E
125831,2,1,1,96.33333110809326,80.66666412353516,48.16666555404663,169480.0,15.666666984558105,80.66666412353516,0.16262976484202465,15.666666984558105,80.66666412353516,0,1,1,1,-169480.0,2,4.503350000000001,4.50335,27562.49254542634,80.66666412353516
27596,3,2,1,427.0000057220459,247.0,142.33333524068198,14880.0,268.3333339691162,158.6666717529297,0.6284152936142742,247.0,158.6666717529297,0,1,1,1,-584.0,3,6.004465433140388,4.245798225173788,1081.236541624272,158.6666717529297
9524,3,1,2,590.999979019165,307.6666564941406,196.99999300638834,20400.0,22.66666603088379,568.3333129882812,0.03835307417184993,22.66666603088379,307.6666564941406,0,1,1,1,-20400.0,3,7.943149246433124,6.713167451773831,782.4027131057386,260.6666564941406
110055,3,1,2,558.000002861023,477.0,186.00000095367432,198536.0,8.666666984558105,549.3333358764648,0.015531661183013738,8.666666984558105,477.0,0,1,1,1,-198536.0,3,13.086423491712486,11.233309392259354,5511.335807666971,72.33333587646484
106239,5,2,3,858.6666812896729,398.3333435058594,171.73333625793458,141256.0,136.00000190734863,722.6666793823242,0.15838509269171092,118.33333587646484,398.3333435058594,0,1,1,1,-125760.0,4,15.761646761680709,10.798605196737215,86872.92527360703,240.6666717529297
22837,2,1,1,183.6666612625122,172.3333282470703,91.8333306312561,199224.0,11.333333015441895,172.3333282470703,0.061705989195520464,11.333333015441895,172.3333282470703,0,1,1,1,-199224.0,2,4.503300000000001,4.5033,12293.313991488369,172.3333282470703
123217,2,1,1,592.0,585.0,296.0,75672.0,7.0,585.0,0.011824324324324325,7.0,585.0,0,1,1,1,-75672.0,2,4.50335,4.50335,894.7702702702703,585.0
19964,3,2,1,99.33333206176758,43.0,33.11111068725586,21544.0,56.33333206176758,43.0,0.5671140884183601,35.33333206176758,43.0,0,1,1,1,-560.0,2,4.503324074780762,4.503324074780761,4753.798711402927,43.0
37734,3,1,2,1128.9999904632568,742.3333129882812,376.33333015441895,187392.0,18.33333396911621,1110.6666564941406,0.01623855989723577,18.33333396911621,742.3333129882812,0,1,1,1,-187392.0,3,12.008866666666666,8.491551054365091,66695.59266516288,368.3333435058594
94193,2,1,1,48.33333206176758,34.33333206176758,24.16666603088379,164976.0,14.0,34.33333206176758,0.289655180034116,14.0,34.33333206176758,0,1,1,1,-164976.0,2,4.503300000000001,4.5033,47786.152981308325,34.33333206176758
162675,4,2,2,1009.9999980926514,745.0,252.49999952316284,185712.0,86.99999809265137,923.0,0.08613861213559182,63.33333206176758,745.0,0,1,1,1,-167232.0,3,10.82467232703964,8.491567423561381,27938.9621015548,745.0
141271,2,1,1,98.66666889190674,90.33333587646484,49.33333444595337,161704.0,8.333333015441895,90.33333587646484,0.0844594543327635,8.333333015441895,90.33333587646484,0,1,1,1,-161704.0,2,7.800001602563937,7.800001602563937,13657.43160342519,90.33333587646484
19686,2,1,1,625.0,604.0,312.5,20120.0,21.0,604.0,0.0336,21.0,604.0,0,1,1,1,-20120.0,2,4.50335,4.50335,676.032,604.0
50528,2,1,1,367.99999046325684,345.6666564941406,183.99999523162842,19112.0,22.33333396911621,345.6666564941406,0.06068840909751625,22.33333396911621,345.6666564941406,0,1,1,1,-19112.0,2,4.503350000000001,4.503349999999999,1159.8768746717305,345.6666564941406
131045,3,1,2,162.99999618530273,88.66666412353516,54.33333206176758,19600.0,20.0,142.99999618530273,0.12269938937460752,20.0,88.66666412353516,0,1,1,1,-19600.0,3,7.943143646427264,6.713174905280577,2461.4806285806817,54.33333206176758
117075,2,1,1,285.3333339691162,263.0,142.6666669845581,18896.0,22.33333396911621,263.0,0.07827103009118982,22.33333396911621,263.0,0,1,1,1,-18896.0,2,0.0,0.0,1479.009384603123,263.0
47906,2,1,1,445.00000953674316,426.3333435058594,222.50000476837158,16424.0,18.66666603088379,426.3333435058594,0.041947563215372255,18.66666603088379,426.3333435058594,0,1,1,1,-16424.0,2,4.50335,4.50335,688.9467782492738,426.3333435058594
112439,2,1,1,79.33333396911621,58.0,39.666666984558105,15880.0,21.33333396911621,58.0,0.2689075688842359,21.33333396911621,58.0,0,1,1,1,-15880.0,2,4.503324074780762,4.503324074780761,4270.252193881666,58.0
134211,2,1,1,105.99999761581421,98.66666412353516,52.999998807907104,172632.0,7.333333492279053,98.66666412353516,0.06918239299266728,7.333333492279053,98.66666412353516,0,1,1,1,-172632.0,2,9.00665,9.006649999999999,11943.094867110138,98.66666412353516
114999,3,1,2,517.0000095367432,289.3333435058594,172.3333365122477,96632.0,22.66666603088379,494.3333435058594,0.04384268010206462,22.66666603088379,289.3333435058594,0,1,1,1,-96632.0,3,7.943149246433126,6.713167451773831,36180.12558386034,289.3333435058594
104562,2,1,1,599.6666660308838,579.0,299.8333330154419,19624.0,20.66666603088379,579.0,0.03446358986013644,20.66666603088379,579.0,0,1,1,1,-19624.0,2,4.503299999999999,4.503299999999999,676.3134874153175,579.0
26448,2,1,1,76.00000238418579,68.33333587646484,38.000001192092896,143280.0,7.666666507720947,68.33333587646484,0.10087718772646039,7.666666507720947,68.33333587646484,0,1,1,1,-143280.0,2,4.503324074780764,4.503324074780762,14453.683457447245,68.33333587646484
111555,2,1,1,244.33333778381348,221.6666717529297,122.16666889190674,17032.0,22.66666603088379,221.6666717529297,0.09276943636295466,22.66666603088379,221.6666717529297,0,1,1,1,-17032.0,2,0.0,0.0,1580.0490401338436,221.6666717529297
2895,2,1,1,898.000020980835,868.6666870117188,449.0000104904175,26000.0,29.33333396911621,868.6666870117188,0.03266518183048265,29.33333396911621,868.6666870117188,0,1,1,1,-26000.0,2,4.503324074780764,4.503324074780761,849.294727592549,868.6666870117188
60838,2,1,1,389.3333225250244,368.6666564941406,194.6666612625122,16120.0,20.66666603088379,368.6666564941406,0.05308219162143625,20.66666603088379,368.6666564941406,0,1,1,1,-16120.0,2,4.503300000000001,4.5033,855.6849289375524,368.6666564941406
55110,2,1,1,504.99999046325684,485.6666564941406,252.49999523162842,187032.0,19.33333396911621,485.6666564941406,0.03828383036479063,19.33333396911621,485.6666564941406,0,1,1,1,-187032.0,2,7.800001602563937,7.800001602563937,7160.301360787521,485.6666564941406
116686,2,1,1,92.66666603088379,75.0,46.333333015441895,167512.0,17.66666603088379,75.0,0.19064747646144808,17.66666603088379,75.0,0,1,1,1,-167512.0,2,9.006648149561522,9.006648149561522,31935.740077010094,75.0
4730,2,1,1,87.33333587646484,66.33333587646484,43.66666793823242,17664.0,21.0,66.33333587646484,0.2404580082650801,21.0,66.33333587646484,0,1,1,1,-17664.0,2,4.503324074780762,4.503324074780761,4247.450257994375,66.33333587646484
136848,5,1,4,1498.333351135254,982.6666870117188,299.66667022705076,117952.0,22.0,1476.333351135254,0.014682980915649436,22.0,982.6666870117188,0,1,1,1,-117952.0,5,12.60933375914842,9.18503650610056,23252.548778346652,102.66666412353516
12285,4,1,3,1094.3333435058594,668.0,273.58333587646484,165064.0,10.0,1084.3333435058594,0.009137983466686225,10.0,668.0,0,1,1,1,-165064.0,4,20.264975,14.061641224155698,28225.51298770201,313.3333435058594
130656,3,1,2,560.3333339691162,405.0,186.7777779897054,163408.0,19.33333396911621,541.0,0.034503272957488916,19.33333396911621,405.0,0,1,1,1,-163408.0,3,7.943143646427262,6.713174905280577,95338.50334909713,136.0
50653,2,1,1,337.0,314.0,168.5,20848.0,23.0,314.0,0.06824925816023739,23.0,314.0,0,1,1,1,-20848.0,2,4.503300000000003,4.503299999999999,1422.860534124629,314.0
100861,2,1,1,68.33333396911621,47.0,34.166666984558105,23416.0,21.33333396911621,47.0,0.3121951283506521,21.33333396911621,47.0,0,1,1,1,-23416.0,2,4.503349074855292,4.50334907485529,7310.3611254588695,47.0
65588,2,1,1,132.6666660308838,113.0,66.3333330154419,49640.0,19.66666603088379,113.0,0.14824120194823875,19.66666603088379,113.0,0,1,1,1,-49640.0,2,4.503324074780761,4.50332407478076,7358.693264710571,113.0
81798,2,1,1,92.66666650772095,85.0,46.333333253860474,66176.0,7.666666507720947,85.0,0.08273381137630718,7.666666507720947,85.0,0,1,1,1,-66176.0,2,4.50335,4.50335,5474.9927016385045,85.0
34456,3,2,1,327.666654586792,258.6666564941406,109.22221819559734,26712.0,282.3333225250244,45.33333206176758,0.8616480150568396,258.6666564941406,45.33333206176758,0,1,1,1,-776.0,3,6.0044666666666675,4.245799097408585,2541.941014738809,45.33333206176758
47130,3,2,1,189.66666221618652,130.3333282470703,63.22222073872884,155032.0,59.33333396911621,130.3333282470703,0.31282953617587617,38.0,130.3333282470703,0,1,1,1,-408.0,3,7.943149246433127,6.713167451773831,17519.438540614785,130.3333282470703
95326,2,1,1,385.0,361.0,192.5,15440.0,24.0,361.0,0.06233766233766234,24.0,361.0,0,1,1,1,-15440.0,2,4.503350000000001,4.503349999999999,962.4935064935065,361.0
17839,2,1,1,365.00000953674316,342.3333435058594,182.50000476837158,26512.0,22.66666603088379,342.3333435058594,0.062100453256569085,22.66666603088379,342.3333435058594,0,1,1,1,-26512.0,2,4.503324074780761,4.50332407478076,1646.4072167381596,342.3333435058594
126724,2,1,1,238.6666660308838,218.0,119.3333330154419,17664.0,20.66666603088379,218.0,0.08659217633772742,20.66666603088379,218.0,0,1,1,1,-17664.0,2,4.5033,4.5033,1529.5642028296172,218.0
86934,2,1,1,253.66666221618652,229.3333282470703,126.83333110809326,21112.0,24.33333396911621,229.3333282470703,0.09592641680434227,24.33333396911621,229.3333282470703,0,1,1,1,-21112.0,2,4.503324074780761,4.503324074780761,2025.1985115732741,229.3333282470703
50752,2,1,1,202.33333778381348,183.6666717529297,101.16666889190674,55192.0,18.66666603088379,183.6666717529297,0.0922569964759268,18.66666603088379,183.6666717529297,0,1,1,1,-55192.0,2,4.50335,4.50335,5091.848149499353,183.6666717529297
23646,3,1,2,920.3333530426025,503.3333435058594,306.7777843475342,108312.0,20.66666603088379,899.6666870117188,0.022455630845671547,20.66666603088379,503.3333435058594,0,1,1,1,-108312.0,3,13.086392902935476,9.957256001864502,53390.475726206205,396.3333435058594
129159,2,1,1,93.3333330154419,82.0,46.66666650772095,79912.0,11.333333015441895,82.0,0.12142856843617497,11.333333015441895,82.0,0,1,1,1,-79912.0,2,0.0,0.0,9703.599760871613,82.0
116470,3,1,2,627.9999904632568,391.6666564941406,209.33333015441895,43536.0,20.33333396911621,607.6666564941406,0.03237792082467536,20.33333396911621,391.6666564941406,0,1,1,1,-43536.0,3,13.086399842584667,11.233296358890682,18877.43936751055,216.0
57522,3,2,1,1343.3333759307861,1212.3333740234375,447.7777919769287,191080.0,1233.0000400543213,110.33333587646484,0.9178660056741197,1212.3333740234375,110.33333587646484,1,1,0,1,162600.0,3,7.943143646427266,6.713174905280577,16294.679601426262,1212.3333740234375
12498,2,1,1,313.3333339691162,290.0,156.6666669845581,21256.0,23.33333396911621,290.0,0.0744680869843745,23.33333396911621,290.0,0,1,1,1,-21256.0,2,4.503300000000001,4.5033,1582.8936569398643,290.0
156174,5,1,4,1332.6666717529297,710.6666870117188,266.53333435058596,123680.0,27.0,1305.6666717529297,0.02026012998770759,27.0,710.6666870117188,0,1,1,1,-123680.0,5,14.744553275348833,10.347869990215377,90618.60583125651,40.0
144403,2,1,1,52.66666603088379,31.0,26.333333015441895,124728.0,21.66666603088379,31.0,0.41139239795772214,21.66666603088379,31.0,0,1,1,1,-124728.0,2,4.503324074780763,4.503324074780761,51312.151012470764,31.0
95825,6,2,4,1432.000020980835,597.6666870117188,238.6666701634725,87360.0,132.99999809265137,1299.0000228881836,0.09287709227933828,113.66666412353516,597.6666870117188,1,1,0,1,152.0,6,15.234586525412421,10.291095244338939,29028.206319907164,113.66666412353516
153712,2,1,1,257.6666660308838,234.0,128.8333330154419,17168.0,23.66666603088379,234.0,0.09184993307612059,23.66666603088379,234.0,0,1,1,1,-17168.0,2,4.503300000000003,4.503299999999999,1576.8796510508382,234.0
72269,2,1,1,185.0,178.0,92.5,16112.0,7.0,178.0,0.03783783783783784,7.0,178.0,0,1,1,1,-16112.0,2,9.00665,9.00665,609.6432432432432,178.0
88320,2,1,1,271.3333377838135,250.6666717529297,135.66666889190674,63960.0,20.66666603088379,250.6666717529297,0.07616707257458383,20.66666603088379,250.6666717529297,0,1,1,1,-63960.0,2,4.503300000000001,4.5033,4871.645961870381,250.6666717529297
145925,2,1,1,545.3333530426025,524.6666870117188,272.66667652130127,19112.0,20.66666603088379,524.6666870117188,0.03789730797791359,20.66666603088379,524.6666870117188,0,1,1,1,-19112.0,2,0.0,0.0,724.2933500738845,524.6666870117188
39555,3,2,1,2415.9999294281006,2105.333251953125,805.3333098093668,49032.0,2128.666585922241,287.3333435058594,0.8810706324921644,2105.333251953125,287.3333435058594,1,1,0,1,33424.0,3,12.008897532709286,8.491572879953134,4448.638252674835,2105.333251953125
40477,2,1,1,68.33333396911621,48.66666793823242,34.166666984558105,70400.0,19.66666603088379,48.66666793823242,0.2878048660668641,19.66666603088379,48.66666793823242,0,1,1,1,-70400.0,2,7.800001602563937,7.8000016025639365,20261.462571107237,48.66666793823242
46283,2,1,1,62.99999809265137,44.33333206176758,31.499999046325684,139184.0,18.66666603088379,44.33333206176758,0.29629629517498607,18.66666603088379,44.33333206176758,0,1,1,1,-139184.0,2,4.503350000000005,4.503350000000001,41239.70354763526,44.33333206176758
135908,3,1,2,686.333330154419,593.0,228.77777671813965,195752.0,22.66666603088379,663.6666641235352,0.03302573987742077,22.66666603088379,593.0,0,1,1,1,-195752.0,3,10.824666507000469,8.491572879953134,162215.05253697716,70.66666412353516
157846,2,1,1,43.000000953674316,31.33333396911621,21.500000476837158,128608.0,11.666666984558105,31.33333396911621,0.27131783083277344,11.666666984558105,31.33333396911621,0,1,1,1,-128608.0,2,7.800001602563938,7.800001602563938,34893.64358774133,31.33333396911621
122805,2,1,1,353.3333339691162,329.0,176.6666669845581,15288.0,24.33333396911621,329.0,0.06886792620376744,24.33333396911621,329.0,0,1,1,1,-15288.0,2,4.503324074780761,4.503324074780761,1052.8528558031967,329.0
142432,2,1,1,308.3333339691162,285.0,154.1666669845581,46240.0,23.33333396911621,285.0,0.07567567758163106,23.33333396911621,285.0,0,1,1,1,-46240.0,2,4.503349074855292,4.503349074855291,3499.2433313746205,285.0
26041,5,2,3,1012.0,487.0,202.4,147912.0,81.0,931.0,0.0800395256916996,71.0,487.0,0,1,1,1,-320.0,5,21.237393500672344,14.068867019401385,9209.312252964426,311.0
72854,4,2,2,699.6666564941406,478.6666564941406,174.91666412353516,131160.0,94.0,605.6666564941406,0.13434969228205204,75.0,478.6666564941406,0,1,1,1,-108360.0,4,15.761671562071868,11.700008730418752,87848.87252941192,127.0
98277,4,1,3,637.3333339691162,244.6666717529297,159.33333349227905,112616.0,21.33333396911621,616.0,0.03347280431145624,21.33333396911621,244.6666717529297,0,1,1,1,-112616.0,4,7.800000000040064,6.368679660013918,37393.30621314617,209.0
162809,4,2,2,434.0000057220459,245.6666717529297,108.50000143051147,68376.0,117.66666984558105,316.33333587646484,0.271121355516618,91.33333587646484,245.6666717529297,0,1,1,1,-45896.0,3,7.943143646427261,6.713174905280577,39524.264589350154,70.66666412353516
135585,3,1,2,643.6666812896729,380.3333435058594,214.55556042989096,16256.0,19.66666603088379,624.0000152587891,0.03055411535591523,19.66666603088379,380.3333435058594,0,1,1,1,-16256.0,3,5.200000000000001,5.199981467274666,499.7161818716481,380.3333435058594
44705,2,1,1,374.3333230018616,366.6666564941406,187.1666615009308,10072.0,7.666666507720947,366.6666564941406,0.020480854993726597,7.666666507720947,366.6666564941406,0,1,1,1,-10072.0,2,7.800001602563938,7.800001602563937,206.28317149681428,366.6666564941406
159735,2,1,1,374.3333435058594,361.3333435058594,187.1666717529297,110392.0,13.0,361.3333435058594,0.03472840511146321,13.0,361.3333435058594,0,1,1,1,-110392.0,2,7.800001602563938,7.800001602563937,3833.738097064647,361.3333435058594
