n_trig,n_trig_UD,n_trig_LD,trig_E_tot,trig_E_max,trig_E_mean,trig_t_span,E_UD,E_LD,frac_E_UD,E_UD_max,E_LD_max,det_first,det_last,det_mismatch,both_dets,dt_firstUD_firstLD,n_unique_pix,pix_spread_max,pix_spread_rms,Ew_mean_t,earliest_E,event_class,event_id
3,2,1,97.1641788482666,38.377567291259766,32.38805961608887,29556.73624671696,58.786611557006836,38.377567291259766,0.6050234999547427,34.454036712646484,38.377567291259766,0,1,1,1,-17485.60085279417,3,36.026659264741404,25.474695069595807,14859.576690853473,38.377567291259766,MISSED_ELECTRON,12199
2,1,1,155.32000350952148,127.44409942626953,77.66000175476074,18451.778881316062,27.875904083251953,127.44409942626953,0.1794740114176156,27.875904083251953,127.44409942626953,0,1,1,1,-18451.778881316062,2,0.0,0.0,3311.614773620637,127.44409942626953,CLEAN,18136
3,1,2,3077.0050506591797,2600.759521484375,1025.6683502197266,13234.403129513026,327.20703125,2749.7980194091797,0.10633945211753981,327.20703125,2600.759521484375,0,0,0,1,-29.558485050720016,3,42.03113333333333,29.720499400955937,11189.182704464401,149.0384979248047,MISSED_PROTON,9302
2,1,1,586.6551971435547,504.65631103515625,293.32759857177734,40556.041706366115,81.99888610839844,504.65631103515625,0.1397735612121975,81.99888610839844,504.65631103515625,1,0,1,1,40556.041706366115,2,11.914693773761035,11.914693773761035,34887.37932839692,81.99888610839844,MISSED_PROTON,9393
4,1,3,523.3484983444214,191.26878356933594,130.83712458610535,80498.69707348305,15.116854667663574,508.2316436767578,0.028884872538059728,15.116854667663574,191.26878356933594,0,1,1,1,-80498.69707348305,4,44.976992311354316,30.6259787882261,7510.987134191521,184.63955688476562,CLEAN,16813
3,2,1,257.15142250061035,150.08331298828125,85.71714083353679,43369.24602012011,107.0681095123291,150.08331298828125,0.4163621125295349,84.41856384277344,150.08331298828125,0,1,1,1,-36.007835124250356,2,0.0,0.0,3831.724664532406,150.08331298828125,BS_CROSS_DET,7465
4,1,3,815.775712966919,434.3894958496094,203.94392824172974,35643.51207637368,29.83830451965332,785.9374084472656,0.036576603158647004,29.83830451965332,434.3894958496094,0,0,0,1,-32409.658354306288,3,18.013333333333335,12.73735015177368,17118.7621759186,264.4066467285156,CLEAN,16564
3,2,1,323.66143798828125,129.61624145507812,107.88714599609375,64.98546629507297,194.04519653320312,129.61624145507812,0.5995314046038097,116.40784454345703,129.61624145507812,1,1,0,1,29.4553039340352,3,6.004432099707681,4.245774654877482,35.1685511738957,77.6373519897461,MISSED_PROTON,8957
2,1,1,369.5003185272217,354.309326171875,184.75015926361084,24991.713464593122,15.19099235534668,354.309326171875,0.04111225780777652,15.19099235534668,354.309326171875,0,1,1,1,-24991.713464593122,2,0.0,0.0,1027.4657670144322,354.309326171875,CLEAN,16068
2,1,1,282.6836853027344,244.02964782714844,141.3418426513672,28.822050751302037,38.65403747558594,244.02964782714844,0.13673954135057415,38.65403747558594,244.02964782714844,0,1,1,1,-28.822050751302037,2,0.0,0.0,3.9411140005160115,244.02964782714844,BS_CROSS_DET,8050
3,1,2,514.4326839447021,428.71185302734375,171.47756131490073,35238.36007190094,10.758054733276367,503.6746292114258,0.02091246351375447,10.758054733276367,428.71185302734375,0,1,1,1,-35238.36007190094,3,18.013329632370702,12.737347534797903,4205.840571212768,428.71185302734375,CLEAN,14264
3,1,2,838.7184677124023,444.34820556640625,279.5728225708008,34449.95755557133,105.4746322631836,733.2438354492188,0.12575689736612666,105.4746322631836,444.34820556640625,0,0,0,1,-19335.20160645851,3,19.686874577184103,15.308381102375115,14297.78397432483,444.34820556640625,MISSED_PROTON,2358
